18/5/27,1,1
18/5/28,2,0
18/5/29,3,0
18/5/30,4,0
18/5/31,5,0
18/6/1,6,0
18/6/2,7,1
18/6/3,1,1
18/6/4,2,0
18/6/5,3,0
18/6/6,4,1
18/6/7,5,0
18/6/8,6,0
18/6/9,7,1
18/6/10,1,1
18/6/11,2,0
18/6/12,3,0
18/6/13,4,0
18/6/14,5,0
18/6/15,6,0
18/6/16,7,1
18/6/17,1,1
18/6/18,2,0
18/6/19,3,0
18/6/20,4,0
18/6/21,5,0
18/6/22,6,0
18/6/23,7,1
18/6/24,1,1
18/6/25,2,0
18/6/26,3,0
18/6/27,4,0
18/6/28,5,0
18/6/29,6,0
18/6/30,7,1
18/7/1,1,1
18/7/2,2,0
18/7/3,3,0
18/7/4,4,0
18/7/5,5,0
18/7/6,6,0
18/7/7,7,1
18/7/8,1,1
18/7/9,2,0
18/7/10,3,0
18/7/11,4,0
18/7/12,5,0
18/7/13,6,0
18/7/14,7,1
18/7/15,1,1
18/7/16,2,0
18/7/17,3,0
18/7/18,4,0
18/7/19,5,0
18/7/20,6,0
18/7/21,7,1
18/7/22,1,1
18/7/23,2,0
18/7/24,3,0
18/7/25,4,0
18/7/26,5,0
18/7/27,6,0
18/7/28,7,1
18/7/29,1,1
18/7/30,2,0
18/7/31,3,0
18/8/1,4,0
18/8/2,5,0
18/8/3,6,0
18/8/4,7,1
18/8/5,1,1
18/8/6,2,0
18/8/7,3,0
18/8/8,4,0
18/8/9,5,0
18/8/10,6,0
18/8/11,7,1
18/8/12,1,1
18/8/13,2,0
18/8/14,3,0
18/8/15,4,1
18/8/16,5,0
18/8/17,6,0
18/8/18,7,1
18/8/19,1,1
18/8/20,2,0
18/8/21,3,0
18/8/22,4,0
18/8/23,5,0
18/8/24,6,0
18/8/25,7,1
18/8/26,1,1
18/8/27,2,0
18/8/28,3,0
18/8/29,4,0
18/8/30,5,0
18/8/31,6,0
18/9/1,7,1
18/9/2,1,1
18/9/3,2,0
18/9/4,3,0
